Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2009-12-24,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.0
2009-12-25,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.0
2009-12-28,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.2
2009-12-29,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.2
2009-12-30,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.2
2009-12-31,2009-Q4,6.95,19.30555555555556,69.5,25.55555555555556,13.3
2010-01-01,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.4
2010-01-04,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.4
2010-01-05,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.4
2010-01-06,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.7
2010-01-07,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.8
2010-01-08,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.9
2010-01-11,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.9
2010-01-12,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.9
2010-01-13,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,13.9
2010-01-14,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,14.1
2010-01-15,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,14.6
2010-01-18,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,14.8
2010-01-19,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,14.9
2010-01-20,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,15.3
2010-01-21,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,15.3
2010-01-22,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,15.4
2010-01-25,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,15.6
2010-01-26,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,16.4
2010-01-27,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,17.0
2010-01-28,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,17.3
2010-01-29,2010-Q1,6.95,19.30555555555556,69.5,25.55555555555556,17.3
2010-02-01,2010-Q1,6.95,19.30555555555556,44.40277777777778,25.55555555555556,17.8
2010-02-02,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.55555555555556,18.0
2010-02-03,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.55555555555556,18.5
2010-02-04,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.55555555555556,18.7
2010-02-05,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.55555555555556,19.30555555555556
2010-02-06,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.486111111111114,19.30555555555556
2010-02-08,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.416666666666668,19.30555555555556
2010-02-09,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.416666666666668,19.30555555555556
2010-02-10,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.416666666666668,19.30555555555556
2010-02-11,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.27777777777778,19.30555555555556
2010-02-12,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-15,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-16,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-17,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-18,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-19,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.138888888888893,19.30555555555556
2010-02-22,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.069444444444446,19.30555555555556
2010-02-23,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.0,19.30555555555556
2010-02-24,2010-Q1,6.95,19.30555555555556,19.30555555555556,25.0,19.30555555555556
2010-02-25,2010-Q1,6.95,19.30555555555556,19.30555555555556,24.93055555555556,19.30555555555556
2010-02-26,2010-Q1,6.95,19.30555555555556,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-01,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-02,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-03,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-04,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-05,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.86111111111111,19.30555555555556
2010-03-08,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.791666666666668,19.30555555555556
2010-03-09,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-10,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-11,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-12,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-15,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-16,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.722222222222225,19.30555555555556
2010-03-17,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.65277777777778,19.30555555555556
2010-03-18,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.65277777777778,19.30555555555556
2010-03-19,2010-Q1,6.95,23.96551724137932,19.30555555555556,24.30555555555556,19.30555555555556
2010-03-22,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.99664750957855,19.30555555555556
2010-03-23,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-24,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-25,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-26,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-29,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-30,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-03-31,2010-Q1,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-01,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-02,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-05,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-06,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-07,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-08,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-09,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-12,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-13,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-14,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-15,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-16,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-19,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-20,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-21,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-22,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-23,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-26,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-27,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-28,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-29,2010-Q2,6.95,23.96551724137932,19.30555555555556,23.96551724137932,19.30555555555556
2010-04-30,2010-Q2,6.95,23.96551724137932,21.63553639846744,23.96551724137932,19.30555555555556
2010-05-03,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,19.30555555555556
2010-05-04,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,19.30555555555556
2010-05-05,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,19.30555555555556
2010-05-06,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,19.7
2010-05-07,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,20.7
2010-05-10,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,21.80555555555556
2010-05-11,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.5
2010-05-12,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.63888888888889
2010-05-13,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.77777777777777
2010-05-14,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.77777777777777
2010-05-17,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.77777777777777
2010-05-18,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,22.916666666666668
2010-05-19,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.194444444444443
2010-05-20,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.47222222222222
2010-05-21,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.750000000000004
2010-05-24,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.88888888888889
2010-05-25,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.88888888888889
2010-05-26,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.96551724137932
2010-05-27,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.96551724137932
2010-05-28,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.96551724137932
2010-05-31,2010-Q2,6.95,23.96551724137932,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-01,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-02,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-03,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-04,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-07,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-08,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-09,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-10,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-11,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-14,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-15,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-16,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-17,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-18,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-21,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-22,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-23,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-24,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-25,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-28,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-29,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-06-30,2010-Q2,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-01,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-02,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-05,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-06,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-07,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-08,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-09,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-12,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-13,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-14,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-15,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-16,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-19,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-20,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-21,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-22,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-23,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-26,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-27,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-28,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-29,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-07-30,2010-Q3,6.95,231.66666666666669,23.96551724137932,23.96551724137932,23.96551724137932
2010-08-02,2010-Q3,6.95,231.66666666666669,127.816091954023,23.96551724137932,23.96551724137932
2010-08-03,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-04,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-05,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-06,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-09,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-10,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-11,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-12,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-13,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-16,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-17,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-18,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-19,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-20,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-23,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-24,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-25,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,23.96551724137932
2010-08-26,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,24.02777777777778
2010-08-27,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,24.02777777777778
2010-08-30,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,24.166666666666664
2010-08-31,2010-Q3,6.95,231.66666666666669,231.66666666666669,23.96551724137932,24.58333333333333
2010-09-01,2010-Q3,6.95,,,,
2010-09-02,2010-Q3,6.95,,,,
2010-09-03,2010-Q3,6.95,,,,
2010-09-06,2010-Q3,6.95,,,,
2010-09-07,2010-Q3,6.95,,,,
2010-09-08,2010-Q3,6.95,,,,
2010-09-09,2010-Q3,6.95,,,,
2010-09-10,2010-Q3,6.95,,,,
2010-09-13,2010-Q3,6.95,,,,
2010-09-14,2010-Q3,6.95,,,,
2010-09-15,2010-Q3,6.95,,,,
2010-09-16,2010-Q3,6.95,,,,
2010-09-17,2010-Q3,6.95,,,,
2010-09-20,2010-Q3,6.95,,,,
2010-09-21,2010-Q3,6.95,,,,
2010-09-22,2010-Q3,6.95,,,,
2010-09-23,2010-Q3,6.95,,,,
2010-09-24,2010-Q3,6.95,,,,
2010-09-27,2010-Q3,6.95,,,,
2010-09-28,2010-Q3,6.95,,,,
2010-09-29,2010-Q3,6.95,,,,
2010-09-30,2010-Q3,6.95,,,,
2010-10-01,2010-Q4,6.95,,,,
2010-10-04,2010-Q4,6.95,,,,
2010-10-05,2010-Q4,6.95,,,,
2010-10-06,2010-Q4,6.95,,,,
2010-10-07,2010-Q4,6.95,,,,
2010-10-08,2010-Q4,6.95,,,,
2010-10-11,2010-Q4,6.95,,,,
2010-10-12,2010-Q4,6.95,,,,
2010-10-13,2010-Q4,6.95,,,,
2010-10-14,2010-Q4,6.95,,,,
2010-10-15,2010-Q4,6.95,,,,
2010-10-18,2010-Q4,6.95,,,,
2010-10-19,2010-Q4,6.95,,,,
2010-10-20,2010-Q4,6.95,,,,
2010-10-21,2010-Q4,6.95,,,,
2010-10-22,2010-Q4,6.95,,,,
2010-10-25,2010-Q4,6.95,,,,
2010-10-26,2010-Q4,6.95,,,,
2010-10-27,2010-Q4,6.95,,,,
2010-10-28,2010-Q4,6.95,,,,
2010-10-29,2010-Q4,6.95,,,,
2010-11-01,2010-Q4,6.95,,,,
2010-11-02,2010-Q4,6.95,,,,
2010-11-03,2010-Q4,6.95,,,,
2010-11-04,2010-Q4,6.95,,,,
2010-11-05,2010-Q4,6.95,,,,
2010-11-08,2010-Q4,6.95,,,,
2010-11-09,2010-Q4,6.95,,,,
2010-11-10,2010-Q4,6.95,,,,
2010-11-11,2010-Q4,6.95,,,,
2010-11-12,2010-Q4,6.95,,,,
2010-11-15,2010-Q4,6.95,,,,
2010-11-16,2010-Q4,6.95,,,,
2010-11-17,2010-Q4,6.95,,,,
2010-11-18,2010-Q4,6.95,,,,
2010-11-19,2010-Q4,6.95,,,,
2010-11-22,2010-Q4,6.95,,,,
2010-11-23,2010-Q4,6.95,,,,
2010-11-24,2010-Q4,6.95,,,,
2010-11-25,2010-Q4,6.95,,,,
2010-11-26,2010-Q4,6.95,,,,
2010-11-29,2010-Q4,6.95,,,,
2010-11-30,2010-Q4,6.95,,,,
2010-12-01,2010-Q4,6.95,,,,
2010-12-02,2010-Q4,6.95,,,,
2010-12-03,2010-Q4,6.95,,,,
2010-12-06,2010-Q4,6.95,,,,
2010-12-07,2010-Q4,6.95,,,,
2010-12-08,2010-Q4,6.95,,,,
2010-12-09,2010-Q4,6.95,,,,
2010-12-10,2010-Q4,6.95,,,,
2010-12-13,2010-Q4,6.95,,,,
2010-12-14,2010-Q4,6.95,,,,
2010-12-15,2010-Q4,6.95,,,,
2010-12-16,2010-Q4,6.95,,,,
2010-12-17,2010-Q4,6.95,,,,
2010-12-20,2010-Q4,6.95,,,,
2010-12-21,2010-Q4,6.95,,,,
2010-12-22,2010-Q4,6.95,,,,
2010-12-23,2010-Q4,6.95,,,,
2010-12-24,2010-Q4,6.95,,,,
2010-12-27,2010-Q4,6.95,,,,
2010-12-28,2010-Q4,6.95,,,,
2010-12-29,2010-Q4,6.95,,,,
2010-12-30,2010-Q4,6.95,,,,
2010-12-31,2010-Q4,6.95,,,,
2011-01-03,2011-Q1,6.95,,,,
2011-01-04,2011-Q1,6.95,,,,
2011-01-05,2011-Q1,6.95,,,,
2011-01-06,2011-Q1,6.95,,,,
2011-01-07,2011-Q1,6.95,,,,
2011-01-10,2011-Q1,6.95,,,,
2011-01-11,2011-Q1,6.95,,,,
2011-01-12,2011-Q1,6.95,,,,
2011-01-13,2011-Q1,6.95,,,,
2011-01-14,2011-Q1,6.95,,,,
2011-01-17,2011-Q1,6.95,,,,
2011-01-18,2011-Q1,6.95,,,,
2011-01-19,2011-Q1,6.95,,,,
2011-01-20,2011-Q1,6.95,,,,
2011-01-21,2011-Q1,6.95,,,,
2011-01-24,2011-Q1,6.95,,,,
2011-01-25,2011-Q1,6.95,,,,
2011-01-26,2011-Q1,6.95,,,,
2011-01-27,2011-Q1,6.95,,,,
2011-01-28,2011-Q1,6.95,,,,
2011-01-31,2011-Q1,6.95,,,,
2011-02-01,2011-Q1,6.95,,,,
2011-02-02,2011-Q1,6.95,,,,
2011-02-03,2011-Q1,6.95,,,,
2011-02-04,2011-Q1,6.95,,,,
2011-02-07,2011-Q1,6.95,,,,
2011-02-08,2011-Q1,6.95,,,,
2011-02-09,2011-Q1,6.95,,,,
2011-02-10,2011-Q1,6.95,,,,
2011-02-11,2011-Q1,6.95,,,,
2011-02-14,2011-Q1,6.95,,,,
2011-02-15,2011-Q1,6.95,,,,
2011-02-16,2011-Q1,6.95,,,,
2011-02-17,2011-Q1,6.95,,,,
2011-02-18,2011-Q1,6.95,,,,
2011-02-21,2011-Q1,6.95,,,,
2011-02-22,2011-Q1,6.95,,,,
2011-02-23,2011-Q1,6.95,,,,
2011-02-24,2011-Q1,6.95,,,,
2011-02-25,2011-Q1,6.95,,,,
2011-02-28,2011-Q1,6.95,,,,
2011-03-01,2011-Q1,6.95,,,,
2011-03-02,2011-Q1,6.95,,,,
2011-03-03,2011-Q1,6.95,,,,
2011-03-04,2011-Q1,6.95,,,,
2011-03-07,2011-Q1,6.95,,,,
2011-03-08,2011-Q1,6.95,,,,
2011-03-09,2011-Q1,6.95,,,,
2011-03-10,2011-Q1,6.95,,,,
2011-03-11,2011-Q1,6.95,,,,
2011-03-14,2011-Q1,6.95,,,,
2011-03-15,2011-Q1,6.95,,,,
2011-03-16,2011-Q1,6.95,,,,
2011-03-17,2011-Q1,6.95,,,,
2011-03-18,2011-Q1,6.95,,,,
2011-03-21,2011-Q1,6.95,,,,
2011-03-22,2011-Q1,6.95,,,,
2011-03-23,2011-Q1,6.95,,,,
2011-03-24,2011-Q1,6.95,,,,
2011-03-25,2011-Q1,6.95,,,,
2011-03-28,2011-Q1,6.95,,,,
2011-03-29,2011-Q1,6.95,,,,
2011-03-30,2011-Q1,6.95,,,,
2011-03-31,2011-Q1,6.95,,,,
2011-04-01,2011-Q2,6.95,,,,
2011-04-04,2011-Q2,6.95,,,,
2011-04-05,2011-Q2,6.95,,,,
2011-04-06,2011-Q2,6.95,,,,
2011-04-07,2011-Q2,6.95,,,,
2011-04-08,2011-Q2,6.95,,,,
2011-04-11,2011-Q2,6.95,,,,
2011-04-12,2011-Q2,6.95,,,,
2011-04-13,2011-Q2,6.95,,,,
2011-04-14,2011-Q2,6.95,,,,
2011-04-15,2011-Q2,6.95,,,,
2011-04-18,2011-Q2,6.95,,,,
2011-04-19,2011-Q2,6.95,,,,
2011-04-20,2011-Q2,6.95,,,,
2011-04-21,2011-Q2,6.95,,,,
2011-04-22,2011-Q2,6.95,,,,
2011-04-25,2011-Q2,6.95,,,,
2011-04-26,2011-Q2,6.95,,,,
2011-04-27,2011-Q2,6.95,,,,
2011-04-28,2011-Q2,6.95,,,,
2011-04-29,2011-Q2,6.95,,,,
2011-05-02,2011-Q2,6.95,,,,
2011-05-03,2011-Q2,6.95,,,,
2011-05-04,2011-Q2,6.95,,,,
2011-05-05,2011-Q2,6.95,,,,
2011-05-06,2011-Q2,6.95,,,,
2011-05-09,2011-Q2,6.95,,,,
2011-05-10,2011-Q2,6.95,,,,
2011-05-11,2011-Q2,6.95,,,,
2011-05-12,2011-Q2,6.95,,,,
2011-05-13,2011-Q2,6.95,,,,
2011-05-16,2011-Q2,6.95,,,,
2011-05-17,2011-Q2,6.95,,,,
2011-05-18,2011-Q2,6.95,,,,
2011-05-19,2011-Q2,6.95,,,,
2011-05-20,2011-Q2,6.95,,,,
2011-05-23,2011-Q2,6.95,,,,
2011-05-24,2011-Q2,6.95,,,,
2011-05-25,2011-Q2,6.95,,,,
2011-05-26,2011-Q2,6.95,,,,
2011-05-27,2011-Q2,6.95,,,,
2011-05-30,2011-Q2,6.95,,,,
2011-05-31,2011-Q2,6.95,,,,
2011-06-01,2011-Q2,6.95,,,,
2011-06-02,2011-Q2,6.95,,,,
2011-06-03,2011-Q2,6.95,,,,
2011-06-06,2011-Q2,6.95,,,,
2011-06-07,2011-Q2,6.95,,,,
2011-06-08,2011-Q2,6.95,,,,
2011-06-09,2011-Q2,6.95,,,,
2011-06-10,2011-Q2,6.95,,,,
2011-06-13,2011-Q2,6.95,,,,
2011-06-14,2011-Q2,6.95,,,,
2011-06-15,2011-Q2,6.95,,,,
2011-06-16,2011-Q2,6.95,,,,
2011-06-17,2011-Q2,6.95,,,,
2011-06-20,2011-Q2,6.95,,,,
2011-06-21,2011-Q2,6.95,,,,
2011-06-22,2011-Q2,6.95,,,,
2011-06-23,2011-Q2,6.95,,,,
2011-06-24,2011-Q2,6.95,,,,
2011-06-27,2011-Q2,6.95,,,,
2011-06-28,2011-Q2,6.95,,,,
2011-06-29,2011-Q2,6.95,,,,
2011-06-30,2011-Q2,6.95,,,,
2011-07-01,2011-Q3,6.95,,,,
2011-07-04,2011-Q3,6.95,,,,
2011-07-05,2011-Q3,6.95,,,,
2011-07-06,2011-Q3,6.95,,,,
2011-07-07,2011-Q3,6.95,,,,
2011-07-08,2011-Q3,6.95,,,,
2011-07-11,2011-Q3,6.95,,,,
2011-07-12,2011-Q3,6.95,,,,
2011-07-13,2011-Q3,6.95,,,,
2011-07-14,2011-Q3,6.95,,,,
2011-07-15,2011-Q3,6.95,,,,
2011-07-18,2011-Q3,6.95,,,,
2011-07-19,2011-Q3,6.95,,,,
2011-07-20,2011-Q3,6.95,,,,
2011-07-21,2011-Q3,6.95,,,,
2011-07-22,2011-Q3,6.95,,,,
2011-07-25,2011-Q3,6.95,,,,
2011-07-26,2011-Q3,6.95,,,,
2011-07-27,2011-Q3,6.95,,,,
2011-07-28,2011-Q3,6.95,,,,
