Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2015-08-18,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-19,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-20,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-21,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-24,0.4,0.4,0.4,0.4,-6.69,,,,,0
2015-08-25,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-26,0.45,0.45,0.45,0.45,-6.69,,,,,0
2015-08-27,0.4,0.4,0.4,0.4,-6.69,,,,,0
2015-08-28,0.4,0.4,0.4,0.4,-6.69,,,,,0
2015-08-31,0.4,0.4,0.4,0.4,-6.69,,,,,0
2015-09-01,0.4,0.4,0.4,0.4,-1.37,,,,,0
2015-09-02,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-03,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-04,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-07,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-08,0.4,0.4,0.4,0.4,-1.37,,,,,0
2015-09-09,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-10,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-09-11,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-09-14,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-09-15,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-09-16,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-09-17,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-09-18,0.75,0.75,0.75,0.75,-1.37,,,,,0
2015-09-21,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-09-22,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-09-23,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-09-24,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-09-25,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-09-28,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-09-29,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-09-30,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-01,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-02,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-05,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-06,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-07,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-08,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-09,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-12,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-13,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-14,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-15,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-16,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-19,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-20,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-10-21,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-22,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-23,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-10-26,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-10-27,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-10-28,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-10-29,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-10-30,0.45,0.45,0.45,0.45,-1.37,,,,,0
2015-11-02,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-11-03,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-11-04,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-11-05,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-11-06,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-09,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-10,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-11,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-12,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-13,0.5,0.5,0.5,0.5,-1.37,,,,,0
2015-11-16,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-17,0.55,0.55,0.55,0.55,-1.37,,,,,0
2015-11-18,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-11-19,0.6,0.6,0.6,0.6,-1.37,,,,,0
2015-11-20,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-11-23,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-11-24,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-11-25,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-11-26,0.65,0.65,0.65,0.65,-1.37,,,,,0
2015-11-27,0.7,0.7,0.7,0.7,-1.37,,,,,0
2015-11-30,0.75,0.75,0.75,0.75,-1.37,,,,,0
2015-12-01,0.8,0.8,0.8,0.8,-1.42,,,,,0
2015-12-02,0.85,0.85,0.85,0.85,-1.42,,,,,0
2015-12-03,0.9,0.9,0.9,0.9,-1.42,,,,,0
2015-12-04,0.85,0.85,0.85,0.85,-1.42,,,,,0
2015-12-07,0.8,0.8,0.8,0.8,-1.42,,,,,0
2015-12-08,0.75,0.75,0.75,0.75,-1.42,,,,,0
2015-12-09,0.7,0.7,0.7,0.7,-1.42,,,,,0
2015-12-10,0.7,0.7,0.7,0.7,-1.42,,,,,0
2015-12-11,0.65,0.65,0.65,0.65,-1.42,,,,,0
2015-12-14,0.6,0.6,0.6,0.6,-1.42,,,,,0
2015-12-15,0.6,0.6,0.6,0.6,-1.42,,,,,0
2015-12-16,0.6,0.6,0.6,0.6,-1.42,,,,,0
2015-12-17,0.65,0.65,0.65,0.65,-1.42,,,,,0
2015-12-18,0.65,0.65,0.65,0.65,-1.42,,,,,0
2015-12-21,0.65,0.65,0.65,0.65,-1.42,,,,,0
2015-12-22,0.6,0.6,0.6,0.6,-1.42,,,,,0
2015-12-23,0.65,0.65,0.65,0.65,-1.42,,,,,0
2015-12-24,0.7,0.7,0.7,0.7,-1.42,,,,,0
2015-12-25,0.7,0.7,0.7,0.7,-1.42,,,,,0
2015-12-28,0.7,0.7,0.7,0.7,-1.42,,,,,0
2015-12-29,0.75,0.75,0.75,0.75,-1.42,,,,,0
2015-12-30,0.75,0.75,0.75,0.75,-1.42,,,,,0
2015-12-31,0.75,0.75,0.75,0.75,-1.42,,,,,0
2016-01-01,0.8,0.8,0.8,0.8,-1.42,,,,,0
2016-01-04,0.8,0.8,0.8,0.8,-1.42,,,,,0
2016-01-05,0.75,0.75,0.75,0.75,-1.42,,,,,0
2016-01-06,0.8,0.8,0.8,0.8,-1.42,,,,,0
2016-01-07,0.75,0.75,0.75,0.75,-1.42,,,,,0
2016-01-08,0.7,0.7,0.7,0.7,-1.42,,,,,0
2016-01-11,0.75,0.75,0.75,0.75,-1.42,,,,,0
2016-01-12,0.75,0.75,0.75,0.75,-1.42,,,,,0
2016-01-13,0.7,0.7,0.7,0.7,-1.42,,,,,0
2016-01-14,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-15,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-01-18,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-01-19,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-01-20,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-01-21,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-22,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-01-25,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-26,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-27,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-28,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-01-29,0.65,0.65,0.65,0.65,-1.42,,,,,0
2016-02-01,0.6,0.6,0.6,0.6,-1.42,,,,,0
2016-02-02,0.55,0.55,0.55,0.55,-1.42,,,,,0
2016-02-03,0.6,0.6,0.6,0.6,-1.42,,,,,1
2016-02-04,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-05,0.6,0.6,0.6,0.6,-1.42,,,,,1
2016-02-08,0.6,0.6,0.6,0.6,-1.42,,,,,1
2016-02-09,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-10,0.6,0.6,0.6,0.6,-1.42,,,,,1
2016-02-11,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-12,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-15,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-16,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-17,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-18,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-19,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-22,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-23,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-24,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-02-25,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-26,0.5,0.5,0.5,0.5,-1.42,,,,,1
2016-02-29,0.55,0.55,0.55,0.55,-1.42,,,,,1
2016-03-01,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-02,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-03,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-04,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-07,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-08,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-09,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-10,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-11,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-14,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-15,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-16,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-17,0.55,0.55,0.55,0.55,-1.77,,,,,1
2016-03-18,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-21,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-03-22,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-23,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-24,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-25,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-03-28,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-03-29,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-03-30,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-03-31,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-01,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-04,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-05,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-06,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-07,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-08,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-11,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-12,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-13,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-14,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-15,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-18,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-19,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-20,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-21,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-04-22,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-25,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-26,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-04-27,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-28,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-04-29,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-02,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-03,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-04,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-05,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-06,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-09,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-10,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-11,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-12,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-13,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-05-16,0.5,0.5,0.5,0.5,-1.77,,,,,1
2016-05-17,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-18,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-19,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-20,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-23,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-24,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-25,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-26,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-05-27,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-30,0.45,0.45,0.45,0.45,-1.77,,,,,1
2016-05-31,0.4,0.4,0.4,0.4,-1.77,,,,,1
2016-06-01,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-02,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-03,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-06,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-07,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-08,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-09,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-10,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-13,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-14,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-15,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-16,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-17,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-20,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-21,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-22,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-23,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-24,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-27,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-28,0.35,0.35,0.35,0.35,-3.01,,,,,1
2016-06-29,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-06-30,0.4,0.4,0.4,0.4,-3.01,,,,,1
2016-07-01,0.45,0.45,0.45,0.45,-3.01,,,,,1
2016-07-04,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-07-05,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-06,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-07,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-08,0.65,0.65,0.65,0.65,-3.01,,,,,1
2016-07-11,0.7,0.7,0.7,0.7,-3.01,,,,,1
2016-07-12,0.65,0.65,0.65,0.65,-3.01,,,,,1
2016-07-13,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-14,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-15,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-18,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-19,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-20,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-21,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-22,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-25,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-07-26,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-27,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-28,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-07-29,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-08-01,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-02,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-03,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-04,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-05,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-08,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-08-09,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-08-10,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-11,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-12,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-15,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-16,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-17,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-08-18,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-19,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-22,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-08-23,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-08-24,0.5,0.5,0.5,0.5,-3.01,,,,,1
2016-08-25,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-26,0.6,0.6,0.6,0.6,-3.01,,,,,1
2016-08-29,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-30,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-08-31,0.55,0.55,0.55,0.55,-3.01,,,,,1
2016-09-01,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-02,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-09-05,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-09-06,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-07,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-08,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-09,0.65,0.65,0.65,0.65,-0.69,,,,,0
2016-09-12,0.65,0.65,0.65,0.65,-0.69,,,,,0
2016-09-13,0.65,0.65,0.65,0.65,-0.69,,,,,0
2016-09-14,0.7,0.7,0.7,0.7,-0.69,,,,,0
2016-09-15,0.65,0.65,0.65,0.65,-0.69,,,,,0
2016-09-16,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-19,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-20,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-21,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-22,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-23,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-26,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-27,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-28,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-09-29,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-09-30,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-03,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-04,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-05,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-06,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-10-07,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-10-10,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-11,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-12,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-13,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-14,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-17,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-18,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-19,0.65,0.65,0.65,0.65,-0.69,,,,,0
2016-10-20,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-21,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-24,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-25,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-26,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-27,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-10-28,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-30,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-10-31,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-01,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-02,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-03,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-04,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-07,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-08,0.6,0.6,0.6,0.6,-0.69,,,,,0
2016-11-09,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-10,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-11,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-14,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-15,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-16,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-17,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-18,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-21,0.45,0.45,0.45,0.45,-0.69,,,,,0
2016-11-22,0.45,0.45,0.45,0.45,-0.69,,,,,0
2016-11-23,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-24,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-25,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-28,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-11-29,0.55,0.55,0.55,0.55,-0.69,,,,,0
2016-11-30,0.5,0.5,0.5,0.5,-0.69,,,,,0
2016-12-01,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-02,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-05,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-06,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-07,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-08,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-09,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-12,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-13,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-14,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-15,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-16,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-19,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-20,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-21,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-22,0.5,0.5,0.5,0.5,-1.17,,,,,0
2016-12-23,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-26,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-27,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-28,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-29,0.45,0.45,0.45,0.45,-1.17,,,,,0
2016-12-30,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-02,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-03,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-04,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-05,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-06,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-09,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-10,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-11,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-12,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-13,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-16,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-17,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-18,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-19,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-20,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-23,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-24,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-01-25,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-26,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-27,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-30,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-01-31,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-01,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-02-02,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-03,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-06,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-07,0.55,0.55,0.55,0.55,-1.17,,,,,0
2017-02-08,0.55,0.55,0.55,0.55,-1.17,,,,,0
2017-02-09,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-10,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-13,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-14,0.5,0.5,0.5,0.5,-1.17,,,,,0
2017-02-15,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-16,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-17,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-20,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-21,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-22,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-23,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-24,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-27,0.45,0.45,0.45,0.45,-1.17,,,,,0
2017-02-28,0.4,0.4,0.4,0.4,-1.17,,,,,0
2017-03-01,0.45,0.45,0.45,0.45,,,,,,0
2017-03-02,0.45,0.45,0.45,0.45,,,,,,0
2017-03-03,0.5,0.5,0.5,0.5,,,,,,0
2017-03-06,0.45,0.45,0.45,0.45,,,,,,0
2017-03-07,0.45,0.45,0.45,0.45,,,,,,0
2017-03-08,0.5,0.5,0.5,0.5,,,,,,0
2017-03-09,0.45,0.45,0.45,0.45,,,,,,0
2017-03-10,0.5,0.5,0.5,0.5,,,,,,0
2017-03-13,0.5,0.5,0.5,0.5,,,,,,0
